               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.051477,            0.041442,           0.0028098,             0.47125,             0.34746,             0.31591,             0.15301,            0.068559,            0.045773,           0.0061214,            0.006436,            0.006436,            0.006436
                  56,            0.051389,             0.03897,           0.0031575,              0.5854,              0.3457,             0.30987,             0.14531,            0.069897,            0.045179,           0.0068316,             0.00637,             0.00637,             0.00637
                  57,            0.049564,            0.041914,           0.0028351,              0.4448,             0.41132,             0.30145,             0.13605,            0.068166,              0.0436,           0.0057929,            0.006304,            0.006304,            0.006304
                  58,            0.050582,            0.042904,           0.0026126,             0.39595,             0.41095,             0.38332,             0.19031,            0.068113,            0.044193,           0.0058999,            0.006238,            0.006238,            0.006238
                  59,            0.049856,            0.043628,           0.0026616,             0.38863,                0.43,             0.38275,             0.18561,            0.064653,            0.043013,           0.0058594,            0.006172,            0.006172,            0.006172
                  60,            0.049163,            0.038208,           0.0026206,             0.44479,             0.44651,             0.37117,             0.17222,            0.063748,            0.043526,           0.0049091,            0.006106,            0.006106,            0.006106
                  61,            0.046224,            0.040791,           0.0028988,             0.35436,             0.33442,             0.29446,             0.15383,            0.069439,            0.048935,            0.006631,             0.00604,             0.00604,             0.00604
                  62,            0.048835,            0.043097,           0.0021955,             0.38495,             0.33677,             0.30306,             0.15598,            0.068804,            0.047204,           0.0065298,            0.005974,            0.005974,            0.005974
                  63,            0.047431,            0.042211,            0.001916,             0.56532,             0.40562,             0.41983,             0.20149,             0.06645,            0.040979,           0.0057838,            0.005908,            0.005908,            0.005908
                  64,            0.046472,            0.041004,           0.0021441,             0.51318,             0.36622,             0.36163,             0.18276,             0.06874,            0.045569,           0.0070355,            0.005842,            0.005842,            0.005842
                  65,            0.048388,            0.040783,           0.0022514,             0.74369,             0.29177,             0.34785,             0.15294,            0.073413,             0.04889,             0.01102,            0.005776,            0.005776,            0.005776
                  66,            0.046978,            0.038684,           0.0024447,             0.70083,             0.26352,             0.34797,              0.1793,            0.071116,            0.048093,            0.010784,             0.00571,             0.00571,             0.00571
                  67,            0.048197,            0.039838,           0.0021198,              0.6077,             0.31232,             0.36128,             0.18618,            0.068615,            0.047816,           0.0086644,            0.005644,            0.005644,            0.005644
                  68,            0.043397,            0.035023,           0.0028781,             0.49366,             0.38608,             0.32792,             0.15684,            0.067943,            0.046034,           0.0082556,            0.005578,            0.005578,            0.005578
                  69,            0.045126,            0.042488,           0.0026234,             0.50522,             0.39576,             0.36876,             0.17905,             0.06496,            0.041234,           0.0074039,            0.005512,            0.005512,            0.005512
                  70,            0.046586,            0.037001,           0.0023943,             0.47559,             0.40583,              0.3559,             0.16722,            0.065923,            0.044154,           0.0077139,            0.005446,            0.005446,            0.005446
                  71,            0.046635,             0.04208,            0.001964,             0.43779,             0.39428,             0.34704,             0.16118,             0.06803,            0.042304,           0.0093201,             0.00538,             0.00538,             0.00538
                  72,             0.04453,            0.036802,           0.0024168,             0.39348,             0.36943,             0.34122,             0.16338,            0.069991,            0.043249,           0.0070744,            0.005314,            0.005314,            0.005314
                  73,            0.043576,            0.038071,            0.002773,             0.37822,             0.40075,             0.34646,             0.15813,            0.066704,            0.043494,           0.0088116,            0.005248,            0.005248,            0.005248
                  74,            0.043447,            0.034968,           0.0023071,             0.44457,             0.36173,              0.3389,             0.16428,            0.066719,            0.044287,            0.010158,            0.005182,            0.005182,            0.005182
                  75,            0.045622,            0.037837,           0.0024388,             0.40812,             0.35657,             0.34002,             0.16438,            0.066618,            0.046362,            0.011109,            0.005116,            0.005116,            0.005116
                  76,            0.044574,            0.041012,           0.0021765,             0.43512,             0.30923,             0.29043,             0.13897,            0.069642,            0.048464,           0.0096132,             0.00505,             0.00505,             0.00505
                  77,            0.044886,            0.037096,           0.0020041,             0.39729,             0.35969,             0.31654,             0.16893,            0.074237,            0.050147,           0.0066777,            0.004984,            0.004984,            0.004984
                  78,             0.04682,            0.041608,           0.0024175,             0.44365,             0.42031,             0.34543,             0.18761,            0.072636,            0.049441,           0.0074863,            0.004918,            0.004918,            0.004918
                  79,            0.043958,            0.041221,           0.0023496,             0.62366,             0.28174,              0.3452,             0.18296,            0.070549,            0.048258,           0.0082396,            0.004852,            0.004852,            0.004852
